Label,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,4000,232.135,0.933,1,8100,8180,40,100,8136.000,74.000,8136.000,74.000,45.487,27.861,18.222,1.633,4000,1.000,100.000,36.870,8140.000,70.000,80.000,60.000,0.000,100.284,1.003,8100,40,20,42.333,2.507
2,150400,2388.783,0.331,1,9280,10060,40,660,9609.894,305.798,9609.894,305.798,479.131,124.478,-33.719,3.849,218000,0.690,937.443,146.310,9626.108,263.916,934.734,320.480,141.953,948.284,1.012,9620,300,100,123.121,4.741
3,52800,1348.381,0.365,1,18840,19320,60,320,19064.545,189.697,19064.545,189.697,258.656,93.922,18.704,2.754,78000,0.677,520.000,22.620,19095.658,169.893,517.805,224.303,17.354,524.284,1.008,18900,140,80,86.816,3.277
4,12000,388.425,0.999,1,700,840,80,180,764.667,126.667,764.667,126.667,72.336,52.750,-2.915,1.371,12000,1.000,152.315,23.199,770.000,130.000,140.000,100.000,0.000,156.284,1.026,740,120,60,79.000,1.302
5,10400,372.717,0.941,1,3520,3640,80,180,3585.385,126.923,3585.385,126.923,66.397,51.187,10.225,1.297,10800,0.963,144.222,146.310,3580.000,130.000,120.000,100.000,0.000,144.284,1.000,3560,100,40,72.333,1.804
6,31200,786.052,0.635,1,6880,7180,80,300,7032.821,183.333,7032.821,183.333,179.534,57.665,30.618,3.113,34400,0.907,349.857,30.964,7044.769,184.154,349.778,136.438,29.745,348.284,0.996,6940,120,60,93.444,2.902
7,5600,274.658,0.933,1,11720,11800,80,180,11761.429,124.286,11761.429,124.286,53.318,32.999,-59.475,1.616,6000,0.933,116.619,120.964,11760.000,130.000,100.000,80.000,90.000,116.284,0.997,11760,100,40,55.667,1.454
8,12000,408.734,0.903,1,23660,23800,80,220,23731.333,153.333,23731.333,153.333,77.003,50.123,40.646,1.536,12400,0.968,161.245,60.255,23735.000,155.000,155.563,113.137,45.000,160.284,0.994,23720,140,60,85.667,1.336
9,102000,1739.502,0.424,1,14100,14500,100,600,14281.922,351.882,14281.922,351.882,252.685,176.931,60.635,1.428,134000,0.761,509.902,78.690,14295.000,335.000,466.690,367.696,45.000,536.284,1.052,14300,440,100,126.238,2.681
10,86000,1228.108,0.717,0,15320,15600,100,500,15457.349,305.721,15457.349,305.721,203.503,139.821,79.928,1.455,92400,0.931,423.792,70.710,15460.000,300.000,400.000,280.000,90.000,432.284,1.020,15420,200,100,74.238,2.161
11,400,53.630,1.748,1,5300,5320,120,140,5310.000,130.000,5310.000,130.000,2.582,2.582,0.000,1.000,400,1.000,28.284,45.000,5310.000,130.000,20.000,20.000,0.000,28.284,1.000,5300,120,20,39.000,0.707
12,3200,221.028,0.823,1,5340,5400,120,180,5372.500,150.000,5372.500,150.000,34.737,31.332,90.000,1.109,3600,0.889,84.853,45.000,5370.000,150.000,60.000,60.000,0.000,84.284,0.993,5340,120,20,39.000,2.107
13,8800,419.841,0.627,2,8240,8420,120,200,8341.818,160.000,8341.818,160.000,81.592,39.509,14.047,2.065,10400,0.846,189.737,18.435,8330.000,160.000,180.000,80.000,0.000,196.284,1.035,8340,140,40,55.667,2.454
14,4800,247.843,0.982,1,20300,20380,120,200,20340.000,163.333,20340.000,163.333,44.717,34.195,52.762,1.308,4800,1.000,100.000,53.130,20340.000,160.000,80.000,80.000,0.000,100.284,1.003,20320,120,20,47.889,2.507
15,64000,1547.195,0.336,1,1780,2080,140,820,1947.500,494.500,1947.500,494.500,384.683,63.135,70.405,6.093,90400,0.708,703.420,75.174,1941.765,482.941,700.925,154.715,70.346,720.284,1.024,1840,240,60,86.677,6.002
16,61200,1379.797,0.404,1,2720,3160,140,580,2923.595,336.928,2923.595,336.928,332.373,79.170,50.611,4.198,89200,0.686,594.643,47.726,2944.706,338.824,594.389,203.915,49.399,592.284,0.996,2820,220,80,94.467,3.702
17,400,53.630,1.748,1,5040,5060,140,160,5050.000,150.000,5050.000,150.000,2.582,2.582,0.000,1.000,400,1.000,28.284,45.000,5050.000,150.000,20.000,20.000,0.000,28.284,1.000,5040,140,20,39.000,0.707
18,10400,361.610,0.999,1,9100,9220,140,240,9156.923,192.308,9156.923,192.308,67.942,48.194,29.467,1.410,10400,1.000,156.205,39.806,9160.000,190.000,120.000,100.000,0.000,156.284,1.001,9140,180,60,85.667,1.302
19,3600,221.028,0.926,1,20920,20980,160,240,20945.556,203.333,20945.556,203.333,37.905,31.407,82.372,1.207,3600,1.000,89.443,63.435,20950.000,200.000,80.000,60.000,90.000,92.284,1.032,20920,160,20,39.000,2.307
20,14800,479.978,0.807,1,24520,24640,160,340,24581.892,248.378,24581.892,248.378,103.422,45.860,-65.399,2.255,16000,0.925,216.333,123.690,24584.706,251.176,203.730,111.566,104.036,216.284,1.000,24580,220,60,77.333,1.802
21,55600,1109.740,0.567,1,3080,3440,180,500,3268.993,319.784,3268.993,319.784,205.075,98.270,46.488,2.087,68000,0.818,453.431,41.424,3297.692,308.462,449.307,249.615,33.690,452.284,0.997,3240,240,80,105.667,2.827
22,12000,430.948,0.812,1,7760,7900,180,320,7828.000,256.000,7828.000,256.000,71.826,55.866,49.213,1.286,13600,0.882,156.205,50.194,7830.000,260.000,152.053,125.220,63.435,156.284,1.001,7800,220,40,89.000,1.954
23,10000,388.425,0.833,1,13100,13240,180,280,13177.200,229.200,13177.200,229.200,76.070,42.718,21.819,1.781,11200,0.893,161.245,29.745,13174.000,228.000,158.114,94.868,18.435,160.284,0.994,13140,200,40,79.000,2.004
24,64400,1207.799,0.555,1,19560,19920,180,560,19738.944,353.851,19738.944,353.851,253.822,92.842,-51.218,2.734,78400,0.821,484.149,128.290,19738.353,362.588,481.654,227.022,122.471,484.284,1.000,19780,260,100,119.000,2.421
25,17600,500.287,0.884,1,3600,3780,200,360,3695.000,287.273,3695.000,287.273,98.329,57.179,36.905,1.720,18000,0.978,205.913,29.055,3695.000,285.000,197.990,127.279,45.000,204.284,0.992,3660,260,60,103.000,1.702
26,128400,2809.413,0.204,2,11560,12200,200,720,11932.617,505.452,11932.617,505.452,395.429,181.938,-30.887,2.173,206400,0.622,727.186,148.496,11906.220,545.976,726.969,413.859,147.095,916.284,1.260,12060,280,80,87.736,5.727
27,4000,236.736,0.897,1,20720,20780,200,300,20748.000,252.000,20748.000,252.000,45.765,27.693,82.312,1.653,4000,1.000,101.980,78.690,20750.000,250.000,100.000,60.000,90.000,108.284,1.062,20740,200,20,45.667,2.707
28,1200,118.368,1.076,1,2400,2440,220,260,2423.333,243.333,2423.333,243.333,23.238,13.581,-45.000,1.711,1200,1.000,56.569,135.000,2420.000,240.000,40.000,40.000,0.000,56.284,0.995,2420,220,20,39.000,1.407
29,16400,576.131,0.621,1,4420,4600,220,420,4512.439,329.512,4512.439,329.512,127.585,42.638,54.988,2.992,18800,0.872,256.125,51.340,4508.462,327.692,255.162,105.393,56.310,256.284,1.001,4480,300,40,67.333,3.204
30,18400,598.346,0.646,1,8460,8700,220,360,8592.609,285.652,8592.609,285.652,133.270,45.225,24.080,2.947,20400,0.902,268.328,26.565,8585.000,285.000,265.631,107.517,18.435,268.284,1.000,8500,240,40,80.333,3.354
31,16400,453.163,1.004,1,16160,16300,240,380,16230.000,311.951,16230.000,311.951,82.445,63.022,48.017,1.308,16400,1.000,184.391,49.399,16230.000,310.000,140.000,140.000,0.000,184.284,0.999,16200,280,60,119.000,1.536
32,2000,156.290,1.029,1,16960,17020,240,280,16994.000,262.000,16994.000,262.000,31.091,18.074,-18.435,1.720,2000,1.000,72.111,146.310,16990.000,260.000,60.000,40.000,0.000,72.284,1.002,16980,240,20,39.000,1.807
33,12800,419.841,0.913,1,20000,20120,240,400,20051.875,318.125,20051.875,318.125,76.884,53.142,71.263,1.447,13200,0.970,170.880,69.444,20060.000,320.000,160.000,120.000,90.000,176.284,1.032,20040,300,60,84.333,1.469
34,6400,328.288,0.746,1,10720,10840,260,360,10780.000,313.750,10780.000,313.750,66.185,32.813,43.645,2.017,7200,0.889,144.222,33.690,10770.000,310.000,141.421,84.853,45.000,144.284,1.000,10780,320,40,52.333,1.804
35,114400,1850.574,0.420,1,24640,24900,260,1060,24743.357,629.930,24743.357,629.930,445.103,103.519,-83.797,4.300,150800,0.759,815.843,101.310,24730.682,649.497,814.941,248.078,98.616,836.284,1.025,24820,320,80,140.569,5.227
36,7600,323.688,0.912,1,12540,12640,280,380,12594.211,328.947,12594.211,328.947,62.489,38.817,46.801,1.610,8000,0.950,141.421,45.000,12590.000,330.000,134.164,98.387,26.565,140.284,0.992,12580,320,40,62.333,1.754
37,39600,727.821,0.939,1,27100,27320,280,520,27204.545,397.879,27204.545,397.879,120.666,105.232,86.369,1.147,40800,0.971,260.000,67.380,27210.000,400.000,240.000,220.000,90.000,264.284,1.016,27180,380,100,143.242,1.321
38,27200,694.499,0.709,1,18520,18780,300,500,18637.353,398.529,18637.353,398.529,143.155,63.623,33.852,2.250,29600,0.919,295.296,28.301,18639.865,404.189,292.944,146.472,35.538,292.284,0.990,18560,340,60,89.909,2.436
39,21600,593.745,0.770,1,19360,19560,300,460,19450.741,364.074,19450.741,364.074,107.049,73.207,-27.060,1.462,24400,0.885,228.035,142.125,19460.000,380.000,200.000,160.000,0.000,228.284,1.001,19420,340,60,87.000,1.902
40,8400,377.318,0.741,1,20200,20300,300,440,20243.333,367.143,20243.333,367.143,75.755,37.126,57.344,2.040,9600,0.875,172.047,54.462,20241.000,373.000,164.438,94.868,71.565,172.284,1.001,20220,340,40,52.333,2.154
41,14000,506.793,0.685,1,7100,7300,340,460,7202.000,410.571,7202.000,410.571,86.015,57.298,18.748,1.501,16400,0.854,215.407,21.801,7200.000,400.000,200.000,120.000,0.000,220.284,1.023,7180,400,60,61.667,1.836
42,1600,145.183,0.954,1,17800,17860,340,380,17830.000,355.000,17830.000,355.000,28.402,17.512,0.000,1.622,1600,1.000,63.246,18.435,17830.000,360.000,60.000,40.000,0.000,68.284,1.080,17800,340,20,39.000,1.707
43,9600,366.211,0.900,1,20800,20900,340,480,20853.333,408.333,20853.333,408.333,67.592,45.341,69.562,1.491,10800,0.889,152.315,66.801,20850.000,410.000,140.000,100.000,90.000,156.284,1.026,20840,380,40,65.667,1.954
