Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsMax,NeighborsMedian,NeighborsSkewness
1,115.280,0.687,116.400,114.200,115.200,115.000,0.302,-1.002,10,80000,NaN,NaN,NaN,NaN
2,118.521,1.517,121.100,113.400,118.700,117.800,-0.589,0.040,376,3008000,116.814,119.200,117.100,-0.594
3,132.293,1.473,136.500,128.900,132.500,132.700,-0.142,-0.100,132,1056000,NaN,NaN,NaN,NaN
4,91.783,0.627,93.000,90.100,91.800,91.800,-0.194,0.259,30,240000,NaN,NaN,NaN,NaN
5,105.592,0.541,106.600,104.600,105.700,104.900,-0.099,-0.780,26,208000,NaN,NaN,NaN,NaN
6,113.615,0.671,115.500,112.200,113.600,113.200,0.911,1.146,78,624000,NaN,NaN,NaN,NaN
7,107.964,0.191,108.400,107.700,108.000,107.800,0.638,-0.401,14,112000,NaN,NaN,NaN,NaN
8,105.620,0.934,107.200,104.000,105.800,105.800,-0.030,-1.085,30,240000,NaN,NaN,NaN,NaN
9,116.525,1.208,119.800,113.600,116.500,116.900,0.196,-0.196,255,2040000,NaN,NaN,NaN,NaN
10,122.286,1.216,124.200,118.300,122.600,123.400,-1.031,0.435,215,1720000,NaN,NaN,NaN,NaN
11,115.800,0.000,115.800,115.800,115.800,115.800,0.000,-1.200,1,8000,115.563,115.800,115.700,-0.461
12,115.563,0.218,115.800,115.200,115.700,115.700,-0.461,-1.339,8,64000,115.800,115.800,115.800,0.000
13,115.164,0.983,117.300,113.600,115.100,115.300,0.300,-0.724,22,176000,NaN,NaN,NaN,NaN
14,125.000,0.945,126.300,123.200,125.100,125.900,-0.489,-0.801,12,96000,NaN,NaN,NaN,NaN
15,81.599,0.873,83.000,79.300,81.800,81.500,-0.545,-0.615,160,1280000,NaN,NaN,NaN,NaN
16,95.936,2.582,100.600,89.600,96.200,97.600,-0.425,-0.769,153,1224000,NaN,NaN,NaN,NaN
17,115.800,0.000,115.800,115.800,115.800,115.800,0.000,-1.200,1,8000,NaN,NaN,NaN,NaN
18,115.877,0.948,117.500,114.100,115.800,115.300,0.163,-1.134,26,208000,NaN,NaN,NaN,NaN
19,114.733,0.583,115.600,113.500,114.700,114.700,-0.641,-0.038,9,72000,NaN,NaN,NaN,NaN
20,102.832,0.530,103.900,101.300,102.900,102.900,-0.172,0.661,37,296000,NaN,NaN,NaN,NaN
21,103.424,1.484,106.300,99.300,103.700,102.600,-0.392,-0.269,139,1112000,NaN,NaN,NaN,NaN
22,114.663,1.181,117.200,112.100,114.500,113.900,-0.002,-0.281,30,240000,NaN,NaN,NaN,NaN
23,113.256,1.200,114.900,110.700,113.500,112.900,-0.526,-0.781,25,200000,NaN,NaN,NaN,NaN
24,133.066,1.154,135.800,129.500,133.100,133.900,-0.317,0.032,161,1288000,NaN,NaN,NaN,NaN
25,107.564,0.643,108.600,105.900,107.600,107.900,-0.457,-0.431,44,352000,NaN,NaN,NaN,NaN
26,114.816,2.180,120.200,109.400,114.800,116.100,0.175,-0.091,321,2568000,NaN,NaN,NaN,NaN
27,119.370,0.307,119.800,118.800,119.400,119.200,-0.069,-0.823,10,80000,NaN,NaN,NaN,NaN
28,81.133,0.249,81.400,80.800,81.200,80.800,-0.382,-1.500,3,24000,NaN,NaN,NaN,NaN
29,119.000,0.513,119.700,117.900,119.200,119.200,-0.753,-0.486,41,328000,NaN,NaN,NaN,NaN
30,114.452,0.912,116.000,112.200,114.500,115.000,-0.617,0.258,46,368000,NaN,NaN,NaN,NaN
31,120.732,0.575,121.400,119.300,120.800,121.300,-0.879,-0.110,41,328000,NaN,NaN,NaN,NaN
32,121.200,0.443,121.700,120.400,121.200,121.200,-0.830,-0.500,5,40000,NaN,NaN,NaN,NaN
33,130.591,0.808,132.100,128.400,130.800,130.800,-0.503,0.118,32,256000,NaN,NaN,NaN,NaN
34,111.350,0.684,112.800,110.600,111.100,110.800,0.588,-0.983,16,128000,NaN,NaN,NaN,NaN
35,107.567,1.571,110.900,102.700,107.500,107.900,-0.052,-0.283,286,2288000,NaN,NaN,NaN,NaN
36,106.868,0.749,109.000,106.000,106.700,106.900,1.456,1.615,19,152000,NaN,NaN,NaN,NaN
37,104.630,1.036,106.300,101.800,104.900,105.400,-0.523,-0.542,99,792000,NaN,NaN,NaN,NaN
38,126.828,0.727,128.400,124.700,126.800,127.600,-0.117,-0.081,68,544000,NaN,NaN,NaN,NaN
39,131.267,0.844,132.500,129.300,131.500,131.600,-0.607,-0.341,54,432000,NaN,NaN,NaN,NaN
40,125.995,0.933,127.600,124.100,126.100,125.900,-0.448,-0.542,21,168000,NaN,NaN,NaN,NaN
41,111.606,0.599,112.800,110.300,111.600,111.600,-0.310,-0.174,35,280000,NaN,NaN,NaN,NaN
42,120.775,0.228,121.000,120.400,120.900,120.400,-0.833,-0.902,4,32000,NaN,NaN,NaN,NaN
43,117.600,0.564,118.600,116.500,117.800,117.900,-0.338,-0.739,24,192000,NaN,NaN,NaN,NaN
44,112.630,0.450,113.100,111.900,112.800,113.100,-0.574,-1.152,10,80000,NaN,NaN,NaN,NaN
45,114.863,0.540,115.700,113.700,114.900,115.400,-0.376,-0.699,43,344000,NaN,NaN,NaN,NaN
46,115.642,0.513,116.300,114.600,115.700,116.300,-0.391,-1.089,38,304000,NaN,NaN,NaN,NaN
47,113.336,1.096,115.400,110.000,113.700,112.900,-0.782,1.001,36,288000,NaN,NaN,NaN,NaN
48,114.758,0.787,116.400,112.900,114.700,114.000,-0.053,-0.728,55,440000,NaN,NaN,NaN,NaN
49,112.469,1.411,116.000,108.300,112.800,113.100,-0.593,0.711,220,1760000,NaN,NaN,NaN,NaN
50,117.130,0.856,119.000,115.500,117.200,117.200,-0.060,-0.679,37,296000,NaN,NaN,NaN,NaN
51,124.225,0.588,125.000,123.000,124.300,124.300,-0.545,-0.621,16,128000,NaN,NaN,NaN,NaN
52,114.000,0.335,114.800,113.600,113.900,113.700,1.035,0.182,15,120000,NaN,NaN,NaN,NaN
53,115.742,0.542,116.800,114.600,115.900,116.100,-0.367,-0.629,71,568000,NaN,NaN,NaN,NaN
54,112.181,0.211,112.600,111.700,112.200,112.200,-0.111,-0.453,32,256000,NaN,NaN,NaN,NaN
55,127.526,2.030,131.800,122.000,127.900,129.100,-0.483,-0.571,300,2400000,NaN,NaN,NaN,NaN
56,124.320,0.402,124.900,123.700,124.400,123.700,-0.146,-0.975,5,40000,NaN,NaN,NaN,NaN
57,117.200,0.346,117.700,116.500,117.200,117.200,-0.355,-0.776,13,104000,NaN,NaN,NaN,NaN
58,113.381,1.180,115.800,110.800,113.400,112.200,-0.107,-0.545,47,376000,NaN,NaN,NaN,NaN
59,115.876,0.397,116.500,114.800,115.900,116.100,-0.881,0.462,33,264000,116.858,117.100,116.800,-0.206
60,121.550,0.343,122.200,121.000,121.600,121.600,0.065,-0.749,16,128000,NaN,NaN,NaN,NaN
61,122.900,0.000,122.900,122.900,122.900,122.900,0.000,-1.200,1,8000,NaN,NaN,NaN,NaN
62,115.533,0.734,116.200,114.000,115.800,114.000,-1.308,0.349,6,48000,NaN,NaN,NaN,NaN
63,93.975,1.358,96.100,90.400,94.300,94.700,-0.691,-0.002,55,440000,NaN,NaN,NaN,NaN
64,76.600,0.000,76.600,76.600,76.600,76.600,0.000,-1.200,1,8000,NaN,NaN,NaN,NaN
65,119.847,0.785,122.100,117.800,119.800,119.100,0.151,0.433,58,464000,NaN,NaN,NaN,NaN
66,131.752,4.492,141.100,120.900,133.000,134.000,-0.554,-0.500,354,2832000,NaN,NaN,NaN,NaN
67,113.633,1.790,117.400,109.700,113.500,113.900,0.299,-0.705,76,608000,NaN,NaN,NaN,NaN
68,105.384,0.731,106.700,103.300,105.500,105.700,-0.739,0.252,43,344000,NaN,NaN,NaN,NaN
69,94.845,1.671,97.500,90.800,95.100,96.500,-0.423,-0.852,122,976000,NaN,NaN,NaN,NaN
70,98.644,1.154,100.900,95.600,98.900,97.900,-0.471,-0.243,75,600000,NaN,NaN,NaN,NaN
71,114.161,0.596,114.800,113.000,114.500,114.800,-0.603,-1.077,18,144000,NaN,NaN,NaN,NaN
72,109.215,1.271,111.600,105.500,109.400,110.200,-0.424,-0.624,315,2520000,NaN,NaN,NaN,NaN
73,97.438,1.124,99.300,94.200,97.700,98.000,-0.818,0.021,272,2176000,NaN,NaN,NaN,NaN
74,111.071,0.316,111.700,110.300,111.100,111.100,-0.447,0.046,41,328000,NaN,NaN,NaN,NaN
75,111.255,0.999,113.000,109.500,111.400,111.400,-0.163,-1.022,22,176000,NaN,NaN,NaN,NaN
76,112.429,0.225,112.900,112.200,112.400,112.200,0.997,0.077,7,56000,NaN,NaN,NaN,NaN
77,116.858,0.182,117.100,116.500,116.800,116.800,-0.206,-0.989,19,152000,115.876,116.500,115.900,-0.881
78,89.265,1.391,90.800,86.600,89.900,90.500,-0.710,-1.016,31,248000,NaN,NaN,NaN,NaN
79,106.600,1.717,109.900,102.300,107.100,107.400,-0.775,-0.039,78,624000,NaN,NaN,NaN,NaN
80,112.740,0.262,113.200,112.300,112.700,112.600,0.365,-0.752,10,80000,NaN,NaN,NaN,NaN
81,113.008,1.106,114.200,110.400,113.500,112.100,-0.874,-4.249E-4,12,96000,NaN,NaN,NaN,NaN
82,109.640,0.102,109.800,109.500,109.600,109.600,0.272,-1.044,5,40000,NaN,NaN,NaN,NaN
83,123.732,0.786,125.200,121.200,123.800,123.800,-0.621,0.059,131,1048000,NaN,NaN,NaN,NaN
84,110.090,0.717,111.500,108.200,110.100,109.900,-0.366,-0.256,58,464000,NaN,NaN,NaN,NaN
85,125.856,0.682,127.200,124.700,125.900,125.600,0.034,-0.818,16,128000,NaN,NaN,NaN,NaN
86,119.798,0.529,120.800,118.600,119.800,119.400,-0.058,-1.025,45,360000,NaN,NaN,NaN,NaN
87,91.823,1.114,93.800,89.500,91.700,91.400,0.008,-0.847,95,760000,NaN,NaN,NaN,NaN
88,116.814,1.407,119.200,113.400,117.100,117.500,-0.594,-0.340,105,840000,118.521,121.100,118.700,-0.589
89,112.268,0.404,112.800,111.400,112.400,112.400,-0.718,-0.411,19,152000,NaN,NaN,NaN,NaN
90,102.706,0.592,103.900,101.800,102.600,102.300,0.525,-0.461,18,144000,NaN,NaN,NaN,NaN
91,115.133,0.262,115.500,114.700,115.100,114.900,-0.107,-1.350,9,72000,NaN,NaN,NaN,NaN
92,96.705,0.703,98.300,95.200,96.700,96.200,0.042,-0.657,75,600000,NaN,NaN,NaN,NaN
93,117.284,1.313,119.600,114.700,117.400,118.700,-0.138,-1.160,214,1712000,NaN,NaN,NaN,NaN
94,113.207,0.762,114.500,111.600,113.300,112.600,-0.045,-0.818,29,232000,NaN,NaN,NaN,NaN
95,112.847,0.393,113.400,112.000,112.900,113.200,-0.581,-0.662,15,120000,NaN,NaN,NaN,NaN
96,97.509,1.214,99.600,94.600,97.400,97.400,-0.171,-0.830,58,464000,NaN,NaN,NaN,NaN
97,109.640,0.929,111.000,107.800,109.800,108.300,-0.424,-0.909,25,200000,NaN,NaN,NaN,NaN
98,113.650,1.114,115.300,110.900,113.900,113.700,-0.878,-0.014,34,272000,NaN,NaN,NaN,NaN
99,106.533,0.721,107.700,105.400,106.200,106.200,0.269,-1.331,15,120000,NaN,NaN,NaN,NaN
100,125.700,0.443,126.300,125.100,125.800,125.100,-0.083,-1.475,5,40000,NaN,NaN,NaN,NaN
101,116.909,0.405,117.400,115.900,117.000,117.200,-0.988,0.179,44,352000,NaN,NaN,NaN,NaN
102,111.929,0.417,112.500,110.800,112.000,112.200,-1.182,1.108,17,136000,NaN,NaN,NaN,NaN
103,126.192,0.824,127.400,124.400,126.300,127.400,-0.370,-0.808,24,192000,NaN,NaN,NaN,NaN
104,107.500,0.000,107.500,107.500,107.500,107.500,0.000,-1.200,1,8000,NaN,NaN,NaN,NaN
105,115.067,1.179,117.200,112.500,115.100,114.100,-0.186,-0.922,79,632000,NaN,NaN,NaN,NaN
106,111.880,0.117,112.000,111.700,111.900,112.000,-0.363,-1.372,5,40000,NaN,NaN,NaN,NaN
107,111.896,1.001,114.400,109.000,112.000,112.200,-0.168,-0.111,136,1088000,NaN,NaN,NaN,NaN
108,126.141,0.848,127.300,124.400,126.200,126.800,-0.307,-1.141,27,216000,NaN,NaN,NaN,NaN
109,103.024,1.429,105.600,99.900,103.300,103.400,-0.286,-0.631,54,432000,NaN,NaN,NaN,NaN
110,84.089,1.590,86.800,80.800,84.300,84.400,-0.258,-0.853,61,488000,NaN,NaN,NaN,NaN
111,117.248,1.514,120.200,113.400,117.200,116.100,-0.158,-0.792,91,728000,NaN,NaN,NaN,NaN
112,120.550,0.206,120.900,120.400,120.500,120.400,1.027,-0.782,4,32000,NaN,NaN,NaN,NaN
113,130.135,1.956,133.500,125.900,130.300,128.200,-0.274,-0.822,49,392000,NaN,NaN,NaN,NaN
114,90.849,1.274,92.800,87.400,91.200,91.700,-1.100,0.605,76,608000,NaN,NaN,NaN,NaN
